item_id,location_type,is_discounted,category,is_returnable,stock_level,brand,url,sku,name,description,price,currency,scraped_at,subcategory,gender,RFID_Tag,actual_stock,inaccuracy_rate,will_stockout
203689,End-cap,Yes,Clothing,No,932,Zara,https://www.zara.com/us/en/straight-leg-acid-wash-jeans-p06186403.html,000008616-313-4,EXPOSED SHOULDER DRAPED T-SHIRT,"Gabardine trench coat with wrap V-neck lapel collar. Long sleeves with belted cuffs and epaulettes.Matching faux leather trim at belt loops, pockets, and belt. Front welt pockets. Belt with metal buckle.",10.9,USD,8:50:06 a.m.,pants,Man,NO,918,0.109051254,NO
197575,Front of Store,No,Clothing,Yes,1601,Zara,https://www.zara.com/us/en/double-ring-leather-keychain-p13965320.html,000002502-621-2,DRAPED KNITWEAR DRESS,Polo with lapel collar and front vent. Short sleeves.,329,USD,8:56:31 a.m.,dresses,Woman,YES,1591,0.062893082,NO
195468,End-cap,No,Clothing,Yes,1991,Zara,https://www.zara.com/us/en/cut-out-jumpsuit-blazer-with-side-buckles-p02515620.html,000000395-366-3,LONG POLYAMIDE SKIRT,"HIGH RISE - WIDE LEG - FULL LENGTH

High rise five pocket jeans. Extra long wide legs. Zip and metal button closure.",49.99,USD,8:54:47 a.m.,suits,Woman,YES,1978,0,YES
195111,Front of Store,No,Clothing,No,2510,Zara,https://www.zara.com/us/en/striped-oxford-shirt-p08741083.html,000000038-082-7,CROPPED OVERSHIRT,Lapel collar jacket with long sleeves. Front pockets with zip closure. Interior lining and trim in matching faux shearling. Front asymmetric zip closure.,12.9,USD,8:56:27 a.m.,sweatshirts,Woman,YES,2499,0.040032026,YES
204156,End-cap,Yes,Clothing,Yes,2406,Zara,https://www.zara.com/us/en/red-temptation-30-ml-p20110370.html,000009083-356-2,VISCOSE BLEND SHORTS,"ZARA WOMAN COLLECTION

Semi-sheer skirt with a high waist made of a viscose blend. Pronounced topstitching detail. Interior lining. Box pleats at hem. Hidden in-seam zip closure.",8.9,USD,9:00:47 a.m.,bags,Woman,NO,2391,0.209555742,NO
197011,Front of Store,Yes,Clothing,Yes,1569,Zara,https://www.zara.com/us/en/stretch-knit-mini-skirt-p05039163.html,000001938-769-2,SATIN EFFECT PRINTED PAJAMA SHIRT STYLE TOP,"Mini city bag with interior divided into two compartments. Interior pocket with zip closure. Rolled handles and adjustable, removeable crossbody strap. Magnetic closure. 

Height x Length x Width: 7.3 x 8.7 x 4.1 inches (18.5 x 22 x 10.5 cm)",79.9,USD,8:56:29 a.m.,shoes,Woman,YES,1555,0.192554557,NO
199621,End-cap,Yes,Clothing,Yes,2229,Zara,https://www.zara.com/us/en/mid-rise-trf-cargo-jeans-p05520038.html,000004548-493-1,AGED EFFECT KNIT CROP TOP,Jacket with lapel collar and long sleeves. Front patch pockets with flaps. Front button closure.,45.99,USD,8:51:29 a.m.,blazers,Woman,YES,2216,0.226142017,NO
201116,Front of Store,No,Clothing,No,1573,Zara,https://www.zara.com/us/en/belted-shirtdress-zw-collection-p02240371.html,000006043-456-4,SOFT METALLIC SWEATSHIRT,Cropped fit jacket with padded interior. Lapel collar made of fleece fabric. Long sleeves. Flap pockets at hip and interior pocket. Adjustable drawstring hem at front. Front zip closure.,1.99,USD,8:51:06 a.m.,bags,Woman,YES,1563,0.318877551,NO
200453,Front of Store,Yes,Clothing,No,1011,Zara,https://www.zara.com/us/en/quilted-sneakers-p15811310.html,000005380-225-1,CROPPED ZIP SWEATSHIRT,"ZARA WOMAN COLLECTION

Fluid straight cut shirt with lapel collar and cuffed long sleeves. Asymmetric hem. Front button closure.",59.9,USD,8:51:36 a.m.,hoodies,Man,YES,1001,0.502008032,YES
195390,End-cap,No,Clothing,No,1599,Zara,https://www.zara.com/us/en/embroidered-beaded-pants-zw-collection-p04786059.html,000000317-273-1,FITTED TEXTURED BLAZER,High collar mini dress with front slit and V-neckline. Long batwing sleeves. Front ruching. Back zip closure.,25.99,USD,8:51:40 a.m.,shoes,Man,YES,1587,0.314070352,NO
204564,Aisle,No,Clothing,Yes,889,Zara,https://www.zara.com/us/en/rigid-crossbody-box-bag-p13609320.html,000009491-459-7,HEAVY COTTON TURTLENECK TOP,"Crossbody bag. Soft construction. Main compartment with zip closure, rolled flap and hidden double magnet. Interior zip pocket. Back pocket with hidden magnetic closure. Adjustable shoulder strap.

Height x Length x Width: 6.7 x 9.1 x 2.8 inches (17 x 23 x 7 cm)",189,USD,9:00:35 a.m.,coats,Woman,NO,877,0.340909091,NO
197386,Aisle,Yes,Clothing,No,1670,Zara,https://www.zara.com/us/en/z1975-high-rise-long-length-straight-cut-jeans-p06147059.html,000002313-753-8,LONG SLEEVE MODAL BODYSUIT,"ZARA WOMAN COLLECTION

Jacket with narrow lapel collar and buttonhole detail. Long sleeves with shoulder pads and buttons. Front flap pockets and chest welt pocket. Contrasting interior lining. Back slit. Front button closure.

The classic suit jacket adopts a contemporary character with a boxy silhouette and a narrower neckline with three buttons. Its narrow lapel and rounded front hem design create a clean effect and pay special attention to the garment’s finish. 

Matching pants available.",69.99,USD,9:10:39 a.m.,t-shirts,Man,YES,1659,0,NO
202830,Aisle,Yes,Clothing,Yes,2489,Zara,https://www.zara.com/us/en/-p02578321.html,000007757-402-8,CROPPED SWEATSHIRT WITH TEXT,"Velvet bucket bag. Shoulder strap. Zip closure.

Height x Length x Width: 9.8 x 12.2 x 5.1 inches (25 x 31 x 13 cm)",8.9,USD,9:00:48 a.m.,knitwear,Woman,YES,2476,0.08071025,YES
203785,End-cap,Yes,Clothing,No,2740,Zara,https://www.zara.com/us/en/nylon-belt-bag-p13504320.html,000008712-370-1,FABRIC LUG SOLE ANKLE BOOTS,T-shirt made of stretch cotton. Round neck and long sleeves.,29.9,USD,8:50:32 a.m.,hoodies,Woman,NO,2727,0.073286918,NO
201314,Aisle,Yes,Clothing,No,2066,Zara,https://www.zara.com/us/en/contrast-collar-oversized-polo-shirt-p00264009.html,000006241-393-2,OPEN BACK METALLIC FLAT SHOES,Hooded sweatshirt. Long sleeves with dropped shoulders and ribbed elastic cuffs. Front pouch pocket. Washed effect fabric. Metal eyelet detail.,199,USD,8:50:38 a.m.,sweatshirts,Woman,YES,2051,0.146484375,YES
202314,End-cap,Yes,Clothing,No,1803,Zara,https://www.zara.com/us/en/textured-t-shirt-p01198403.html,000007241-511-2,TECHNICAL TRAINING PANTS,"Knee high boots made of leather. Zip closure. Squared toe.

Heel height: 2.1 inches (5.3 cm)",69.99,USD,8:54:42 a.m.,cardigans,Woman,YES,1788,0.167504188,YES
200977,End-cap,No,Clothing,No,1272,Zara,https://www.zara.com/us/en/faux-leather-pants-p08281651.html,000005904-438-4,SNOW BOOTS,Loafers. Made of leather with a suede finish. Ornamental saddle detail at instep. Rounded shape. Contrasting colored sole.,239,USD,8:50:46 a.m.,shorts,Man,YES,1257,0.079491256,NO
201690,End-cap,Yes,Clothing,No,2847,Zara,https://www.zara.com/us/en/pleated-top-p00264030.html,000006617-261-4,FAUX SUEDE JACKET,Long dress made of 100% leather. Round neckline. Pronounced seam detail. Adjustable waist with self tie. Hidden in-seam zip closure at shoulder.,29.99,USD,8:54:45 a.m.,skirts,Woman,YES,2835,0.035260931,YES
198545,End-cap,No,Clothing,No,2359,Zara,https://www.zara.com/us/en/fleece-bomber-jacket-p08281405.html,000003472-412-5,BASIC JOGGING PANTS,Long skirt with a high elastic waist. Swing skirt.,489,USD,8:50:56 a.m.,sweatshirts,Man,YES,2346,0.042607584,NO
203568,Front of Store,No,Clothing,No,2544,Zara,https://www.zara.com/us/en/striped-leather-top-limited-edition-p01966302.html,000008495-528-2,COMPACT COTTON T-SHIRT,"Ankle length pants a high waist and embossed belt. Front darts. Front pockets and back false welt pockets. Front zip, metal hook, and interior button closure.",79.99,USD,8:50:24 a.m.,tops,Man,NO,2531,0.118389897,NO
197440,End-cap,No,Clothing,No,2992,Zara,https://www.zara.com/us/en/pearl-heeled-slingbacks-p12815110.html,000002367-010-9,POCKET JACQUARD OVERSHIRT,Coat made of wool blend fabric. Wide notched lapel collar. Long sleeves with buttoned cuffs. Flap pockets at hip and interior pocket. Central vent at back hem. Front double breasted button closure.,29.99,USD,9:10:44 a.m.,coats,Man,YES,2982,0.100502513,YES
196217,End-cap,Yes,Clothing,Yes,1849,Zara,https://www.zara.com/us/en/lug-sole-suede-chelsea-boots-p12064220.html,000001144-586-3,SLEEVELESS JEWEL KNIT TOP,"Mini crossbody bag in suede. Front strap with buckle detail. Handle with rings. Interior flap closure. 

Height x Length x Width: 4.7 x 9.1 x 3.1 inches (12 x 23 x 8 cm)",12.9,USD,8:51:42 a.m.,knitwear,Man,YES,1837,0.217273221,NO
202103,Front of Store,Yes,Clothing,No,2621,Zara,https://www.zara.com/us/en/leather-key-lanyard-p05919406.html,000007030-194-2,RUFFLED PRINTED TULLE MINI DRESS,"OVERSIZE - ROUND NECK - REGULAR LENGTH - SHORT SLEEVE

Full cut T-shirt made of 100% washed effect cotton. Round neck and short sleeves. Contrasting text and print.",35.9,USD,9:00:49 a.m.,coats,Man,YES,2607,0.038343558,YES
201963,End-cap,Yes,Clothing,No,542,Zara,https://www.zara.com/us/en/leather-monkstrap-shoes-p12426320.html,000006890-658-7,ABSTRACT PRINT TULLE T-SHIRT,"Patent effect loafers. Front tassels. Lug soles with raised details. 

Sole height: 2 inches (5 cm)",17.9,USD,8:56:31 a.m.,tracksuits,Woman,YES,530,0.189035917,NO
202676,Front of Store,Yes,Clothing,Yes,1292,Zara,https://www.zara.com/us/en/triple-fold-leather-wallet-p13811320.html,000007603-431-6,ANGELIC VANILLA 80 ML,Dress made of with 63% alpaca. Round neck and long sleeves.,129,USD,8:50:42 a.m.,hoodies,Man,YES,1278,0,YES
196876,End-cap,Yes,Clothing,No,2076,Zara,https://www.zara.com/us/en/faux-leather-crop-biker-jacket-p04341826.html,000001803-945-8,ZW HIGH WAIST CROPPED BOOTCUT JEANS,Round neck long sleeve cardigan. Ripped trim and jewel appliqués. Front button closure.,69.9,USD,8:50:52 a.m.,tracksuits,Woman,YES,2066,0.04842615,NO
198884,Front of Store,Yes,Clothing,No,1633,Zara,https://www.zara.com/us/en/pleated-skort-p05427413.html,000003811-802-3,FAUX LEATHER BOMBER JACKET,"Regular fit jeans made of cotton denim. Five pockets. Washed effect. Front button closure.

Origins special collection.",29.9,USD,8:50:55 a.m.,overshirts,Man,YES,1622,0,YES
202973,Front of Store,Yes,Clothing,Yes,1007,Zara,https://www.zara.com/us/en/asymmetrical-ruched-top-p05644322.html,000007900-561-7,LONG SLEEVE LACE BODYSUIT,Pants made of 100% viscose. Mid waist and belt loops. Wide leg.,12.99,USD,8:50:43 a.m.,skirts,Woman,YES,994,0,YES
200368,Front of Store,Yes,Clothing,No,2336,Zara,https://www.zara.com/us/en/multipiece-sneakers-p12205320.html,000005295-098-4,LIGHTWEIGHT PUFFER VEST,Midi dress with V-neckline and spaghetti straps. Matching interior lining.,9.99,USD,9:10:36 a.m.,dresses,Woman,YES,2326,0.085910653,NO
201486,Aisle,Yes,Clothing,No,891,Zara,https://www.zara.com/us/en/xxl-nappa-leather-clutch-limited-edition-p13709320.html,000006413-819-8,ZW COLLECTION PRINTED 100% SILK SHIRT,"Patent effect loafers. Front tassels. Lug soles with raised details. 

Sole height: 2 inches (5 cm)",19.99,USD,9:00:42 a.m.,bodysuits,Woman,YES,878,0.340522134,NO
199146,End-cap,Yes,Clothing,Yes,1152,Zara,https://www.zara.com/us/en/fitted-shoulder-pad-blazer-p02191600.html,000004073-791-2,BASIC SWIMMING TRUNKS,Open back halter top. Back button closure.,12.99,USD,9:10:51 a.m.,linen,Man,YES,1137,0,YES
196653,Aisle,Yes,Clothing,No,2075,Zara,https://www.zara.com/us/en/cable-knit-cardigan-p06771015.html,000001580-656-1,SLIM FIT JEANS,Shorts with adjustable elastic drawstring waistband. Front pockets and back patch pocket. Contrasting label appliqué at hem.,29.99,USD,8:51:34 a.m.,knitwear,Man,YES,2064,0.194174757,YES
203596,End-cap,No,Clothing,No,2942,Zara,https://www.zara.com/us/en/knit-pearl-sweater-p04331165.html,000008523-294-5,VISCOSE - LINEN SHIRT,"SLIM FIT - ROUND NECK - REGULAR LENGTH - LONG SLEEVE

Shirt made of textured fabric. Round neck and long sleeves. Ruching detail at sides.",199,USD,8:51:35 a.m.,suits,Woman,NO,2931,0,NO
199948,Aisle,No,Clothing,Yes,1673,Zara,https://www.zara.com/us/en/oversized-nylon-bomber-p04341718.html,000004875-414-1,COTTON JACKET,"SLIM FIT - ROUND NECK - CROPPED - SHORT SLEEVE

Short sleeve round neck T-shirt.",49.99,USD,8:50:34 a.m.,knitwear,Man,YES,1663,0.301568154,NO
203824,Aisle,Yes,Clothing,Yes,2758,Zara,https://www.zara.com/us/en/long-buttoned-knit-vest-p09598024.html,000008751-022-5,WIDE LEG PINSTRIPE PANTS,Straight fit pants made with viscose. Front pleats at waist. Front and back welt pockets. Front zip and hidden metal hook closure.,349,USD,8:51:33 a.m.,bags,Woman,NO,2747,0.145825738,NO
205048,End-cap,No,Clothing,Yes,2381,Zara,https://www.zara.com/us/en/acid-wash-t-shirt-p00962447.html,000009975-089-2,SATIN EFFECT PRINTED PAJAMA SHIRT STYLE TOP,"Sporty ankle boots in technical fabric. Sole with raised detail. Centered front zipper. Back pull tab. 

Sole height: 1.6 inches (4 cm)",35.9,USD,8:51:42 a.m.,sweaters,Woman,NO,2367,0.042265427,NO
196974,End-cap,No,Clothing,Yes,2812,Zara,https://www.zara.com/us/en/boxy-fit-t-shirt-p05584441.html,000001901-120-9,LINEN - VISCOSE BLEND SHIRT,Hoodie sweatshirt with adjustable hooded collar and long sleeves. Front pouch pockets. Rib trim. Front zip closure.,199,USD,9:00:31 a.m.,puffers,Woman,YES,2801,0.142602496,NO
204301,End-cap,No,Clothing,No,1016,Zara,https://www.zara.com/us/en/z1975-denim-midi-skirt-p05862064.html,000009228-581-6,MINIMAL FLAP SHOULDER BAG,Long dress with choker style round neck. Long sleeve and asymmetric neckline with exposed shoulder. Slit at back hem. Side hidden in-seam zip closure.,299,USD,9:10:51 a.m.,blazers,Man,NO,1003,0.099800399,YES
201416,Front of Store,Yes,Clothing,Yes,2549,Zara,https://www.zara.com/us/en/adherent-stripes-sneakers-p12269320.html,000006343-456-5,DRESS BLUCHER SHOES,Oversize shirt made of trench coat fabric. Lapel collar and long sleeves with belted cuffs. Buttoned welt pocket at chest. Side tonal piping. Front button closure.,8.9,USD,8:50:51 a.m.,coats,Man,YES,2536,0.078926598,NO
198834,Aisle,Yes,Clothing,No,1523,Zara,https://www.zara.com/us/en/textured-ribbed-socks-p04547408.html,000003761-033-9,WASHED INTERLOCK T-SHIRT,Long dress made of 100% leather. Round neckline. Pronounced seam detail. Adjustable waist with self tie. Hidden in-seam zip closure at shoulder.,439,USD,9:00:29 a.m.,tops,Man,YES,1510,0.26560425,YES
204589,End-cap,No,Clothing,Yes,2583,Zara,https://www.zara.com/us/en/soft-minimalist-sweater-p00264046.html,000009516-049-2,Wool blend knit top. Round neck and long sleeves.<br/><br/>Origins special collection.,Straight fit jeans. Five pockets. Front button closure.,119,USD,8:56:27 a.m.,blazers,Man,NO,2570,0.194174757,YES
195645,End-cap,Yes,Clothing,Yes,962,Zara,https://www.zara.com/us/en/side-buckle-skort-p01971024.html,000000572-172-8,RUFFLED SATIN EFFECT DRESS,Round neck T-shirt with short sleeves with an interior polyamide top with long sleeves with thumbholes. Text print detail on front and sleeves.,10.9,USD,9:00:44 a.m.,blazers,Man,YES,948,0.530222694,YES
200324,End-cap,Yes,Clothing,Yes,2436,Zara,https://www.zara.com/us/en/chunky-sole-chelsea-boots-p12010320.html,000005251-035-2,VISCOSE - LINEN SHIRT,Strapless semi-sheer mini dress with wide neckline. Wrinkled fabric. A-line hem.,17.9,USD,9:00:33 a.m.,skirts,Woman,YES,2424,0.123915737,NO
199486,End-cap,No,Clothing,Yes,2758,Zara,https://www.zara.com/us/en/animal-print-tulle-dress-p04661314.html,000004413-443-1,SOFT METALLIC PANTS,Jacket made of technical fabric. High collar and long sleeves with adjustable cuffs with snap button straps. Flap patch pockets at hip. Adjustable drawstring hem. Washed effect. Front zip hidden by a snap button flap.,47.9,USD,8:50:39 a.m.,cardigans,Man,YES,2743,0,YES
196834,End-cap,Yes,Clothing,No,752,Zara,https://www.zara.com/us/en/wool-blend-cardigan-p09598417.html,000001761-517-3,TRF MID-RISE WIDE LEG RIPPED JEANS,Strappy sandals. Fits to the foot with interwoven straps. Straps with position for toe. Decorative buckle detail at instep. Slightly chunky tonal sole.,35.99,USD,8:51:43 a.m.,blazers,Woman,YES,742,0.134589502,YES
200092,Aisle,No,Clothing,No,622,Zara,https://www.zara.com/us/en/rib-t-shirt-p02795402.html,000005019-326-6,HIGH WAIST MINI SKIRT ZW COLLECTION,High top sneakers. Upper in a combination of pieces and materials. Lacing with seven pairs of eyelets. Chunky tonal sole.,22.99,USD,9:00:34 a.m.,tops,Woman,YES,609,0.495049505,NO
196141,End-cap,Yes,Clothing,No,1006,Zara,https://www.zara.com/us/en/snow-boots-p12102320.html,000001068-801-9,GEOMETRIC MULTIPOCKET BAG,"REGULAR FIT - ROUND NECK - REGULAR LENGTH - LONG SLEEVE

Long sleeve round neck T-shirt. Scalloped trim.",79.99,USD,8:50:39 a.m.,jeans,Man,YES,995,0.100603622,YES
198353,Front of Store,No,Clothing,Yes,1071,Zara,https://www.zara.com/us/en/chunky-sole-sneakers-p12200320.html,000003280-490-5,BUCKLE SHOULDER BAG,Cropped blazer with lapel collar and long sleeves with shoulder pads. Double breasted front button closure.,22.9,USD,8:50:49 a.m.,puffers,Man,YES,1058,0.282752121,YES
204722,Front of Store,No,Clothing,Yes,2545,Zara,https://www.zara.com/us/en/ribbed-knit-t-shirt-p03332431.html,000009649-882-8,CABLE KNIT METALLIC SWEATER,"Bomber jacket with round neck, long sleeves, and voluminous pleated cuffs. Front pockets. Pleats at hem. Front metal zip closure.",229,USD,8:50:10 a.m.,linen,Man,NO,2534,0.039447732,YES
195406,Front of Store,Yes,Clothing,Yes,3009,Zara,https://www.zara.com/us/en/denim-overshirt-p02553422.html,000000333-446-4,THIN STRAP BRA,"Regular fit T-shirt made of cotton fabric with a soft finish. Round neck and short sleeves with contrast trim.

Origins special collection.",27.9,USD,9:00:28 a.m.,suits,Man,YES,2994,0.167280027,YES
203598,Front of Store,No,Clothing,Yes,1779,Zara,https://www.zara.com/us/en/soft-stretch-bodysuit-p01165001.html,000008525-512-4,TAILORED BLAZER,"Block heel leather sandals. Wide crossed straps with buckle closure. Squared toe. 

Heel height: 3 inches (7.5 cm)",17.9,USD,9:00:37 a.m.,coats,Man,NO,1764,0,YES
198284,End-cap,Yes,Clothing,Yes,2113,Zara,https://www.zara.com/us/en/block-heel-leather-sandals-p11308310.html,000003211-214-1,BELTED WAXED MINI SKIRT,Top made of 100% leather. Sleeveless with flowy collar. Pronounced seam detail.,22.9,USD,8:50:25 a.m.,shorts,Man,YES,2098,0.238891543,NO
196185,Front of Store,Yes,Clothing,No,669,Zara,https://www.zara.com/us/en/soft-jewel-sweater-p02298153.html,000001112-638-3,FABRIC KITTEN HEEL SLINGBACKS,Mock neck bodysuit with short sleeves. Metallic fabric detail. Bottom snap button closure.,35.9,USD,8:51:38 a.m.,overshirts,Woman,YES,658,0.304878049,YES
203268,Front of Store,No,Clothing,Yes,2105,Zara,https://www.zara.com/us/en/suede-tassel-loafers-p12640320.html,000008195-978-3,VELVET KNEE HIGH HEELED BOOTS,Sweater made of 100% wool. Round neck and long sleeves.,149,USD,8:50:07 a.m.,suits,Man,NO,2092,0.143609382,YES
199896,Aisle,Yes,Clothing,Yes,1642,Zara,https://www.zara.com/us/en/buckled-suede-ankle-boots-p11101310.html,000004823-875-1,LINED SLIP DRESS,"LIGHT WEIGHT - REGULAR FIT - HALTER NECK - LONG LENGTH - LONG SLEEVE

Semi-sheer top made of 100% cotton with boatneck collar, long sleeves, and layered halter V-neck. Side pleats.",27.99,USD,8:50:49 a.m.,pants,Woman,YES,1627,0.308261406,NO
196007,Aisle,No,Clothing,Yes,2250,Zara,https://www.zara.com/us/en/cotton---linen-blend-jacket-p00706103.html,000000934-454-7,WOOL DRESS ZW COLLECTION,Vest made of viscose and wool blend fabric. V-neckline. Patch pockets at hip. Front zip closure.,499,USD,9:00:42 a.m.,shorts,Man,YES,2236,0.224114747,NO
